Category,Test_Name,PHMCOLD_high,PHMHOT_high,CLASSCOLD_high,CLASSHOT_high,ALL_high,PHMCOLD_low,PHMHOT_low,CLASSCOLD_low,CLASSHOT_low,ALL_low
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_CPU_15,0.50814733,0.09904217,0.50814733,0.08904217,0.50814733,-0.5476324,0.00555913,-0.5476324,0.00555913,-0.5476324
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_CPU_15_P,0.05426446,0.06839713,0.05426446,0.05839713,0.05426446,-0.0065851,-0.0060702,-0.0065851,-0.0060702,-0.0060702
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_CPU_16,0.53457162,0.47574575,0.53457162,0.46574575,0.53457162,0.34200838,0.28460425,0.34200838,0.28460425,0.28460425
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_CPU_2,0.92977165,0.81023964,0.92977165,0.80023964,0.92977165,0.89426435,0.77114836,0.89426435,0.77114836,0.77114836
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_CPU_2_P,1.05313406,0.79845578,1.05313406,0.78845578,1.05313406,0.74122394,0.75474222,0.74122394,0.75474222,0.75474222
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_CPU_3,0.91509412,0.80342291,0.91509412,0.79342291,0.91509412,0.85950388,0.72581909,0.85950388,0.72581909,0.72581909
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_CPU_4,0.92050424,0.79697376,0.92050424,0.78697376,0.92050424,0.82647376,0.69839224,0.82647376,0.69839224,0.69839224
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_CPU_5,0.88078172,0.75016441,0.88078172,0.74016441,0.88078172,0.83583228,0.71214859,0.83583228,0.71214859,0.71214859
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_CPU_5_P,0.88714085,0.75403673,0.88714085,0.74403673,0.88714085,0.83992515,0.70734127,0.83992515,0.70734127,0.70734127
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_CPU_6,1.02408494,0.79956936,1.02408494,0.78956936,1.02408494,0.49351706,0.52276264,0.49351706,0.52276264,0.49351706
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_CPU_7,0.91104364,0.79856735,0.91104364,0.78856735,0.91104364,0.41719636,0.46253865,0.41719636,0.46253865,0.41719636
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_CPU_8,0.69562095,0.69416709,0.69562095,0.68416709,0.69562095,0.40541505,0.38867891,0.40541505,0.38867891,0.38867891
